Date,Title,,,
8/27/2025,FDA accepts proposal for reasonably likely surrogate endpoint for ‘MASH’ all-cause mortality or liver-related events,,,
3/11/2025,Limited number of voluntary recalls initiated after FDA testing of acne products for benzene; findings show a small number of products with elevated levels of benzene contamination,,,
2/28/2025,FDA issues class-wide labeling changes for testosterone products,,,
2/14/2025,FDA qualifies drug development tool to facilitate clinical trial research on alcohol use disorder,,,
12/26/2024,FDA recommends changes to labeling for transmucosal buprenorphine products indicated to treat opioid use disorder,,,
12/23/2024,FDA issues final rule to broaden types of nonprescription drugs available to consumers,,,
12/12/2024,CDER establishes new Center for Real-World Evidence Innovation,,,
10/31/2024,"FDA approves REMS modification, advancing new drug disposal option",,,
10/02/2024,FDA clarifies policies for compounders as national GLP-1 supply begins to stabilize,,,
9/24/2024,FDA's ISTAND Pilot Program accepts a submission of first organ-on-a-chip technology designed to predict human drug-induced liver injury (DILI),,,
6/20/2024,FDA updates guidance on interchangeability,,,
6/14/2024,FDA issues agency-initiated proposed order regarding OTC monograph drugs containing acetaminophen,,,
4/15/2024,FDA establishes CDER Center for Clinical Trial Innovation (C3TI),,,
3/25/2024,CDER Establishes New Quantitative Medicine Center of Excellence,,,
3/15/2024,FDA Announces New Quality Oversight Webpage,,,
3/11/2024,FDA issues guidance regarding drug development for early Alzheimer’s disease,,,
1/29/2024,FDA revises letter of authorization for the emergency use authorization for Paxlovid,,,
1/23/2024,FDA's ISTAND Pilot Program accepts submission of first artificial intelligence-based and digital health technology for neuroscience,,,
12/21/2023,FDA warns consumers not to use counterfeit Ozempic (semaglutide) found in U.S. drug supply chain,,,
12/15/2023,FDA approves safety labeling changes for opioid pain medicines,,,
10/17/2023,CDER soliciting comments regarding clinical trial innovation,,,
9/21/2023,FDA issues guidance on using remote oversight tools to help approve drugs,,,
9/18/2023,FDA issues draft guidance regarding confirmatory evidence of clinical trials,,,
9/14/2023,FDA clarifies results of recent advisory committee meeting on oral phenylephrine,,,
8/30/2023,DSCSA compliance policies establish 1-year stabilization period for implementing electronic systems,,,
5/23/2023,FDA issues final guidance on adjusting for covariates in randomized clinical trials,,,
5/17/2023,FDA issues two draft guidances for industry to support the approval of pediatric drug products,,,
5/11/2023,FDA requires updates to clarify labeling of prescription stimulants used to treat ADHD and other conditions,,,
4/28/2023,FDA issues final Nicotine Replacement Therapy Drug Products guidance,,,
4/13/2023,FDA announces new safety label changes for opioid pain medicines,,,
4/4/2023,FDA authorizes Gohibic (vilobelimab) injection for the treatment of COVID-19,,,
3/29/2023,FDA launches Lupus Treatment Consortium in partnership with the Lupus Research Alliance,,,
1/20/2023,FDA issues guidance to help increase supply of ibuprofen oral suspension products in hospitals and health systems,,,
11/30/2022,FDA Announces Bebtelovimab is Not Currently Authorized in Any US Region,,,
11/4/2022,FDA Updates on Bebtelovimab,,,
10/21/2022,FDA issues final guidance about multiple endpoints in clinical trials,,,
10/12/2022,FDA Announces Shortage of Adderall,,,
10/6/2022,FDA Launches AATD Pre-Consortium Partnership with the Critical Path Institute,,,
10/3/2022,FDA Expands CDER NextGen Portal,,,
9/8/2022,FDA draft guidance aims to improve consistency of labeling for nonprescription drugs,,,
9/7/2022,CDER and CBER accept first submission to ISTAND Pilot Program,,,
9/1/2022,FDA initiates the Lysosomal Diseases Pre-Consortium at the Critical Path Institute,,,
8/9/2022,FDA works to avoid shortage of sitagliptin following detection of nitrosamine impurity,,,
5/10/2022,CDER launches new Accelerating Rare disease Cures (ARC) program,,,
4/19/2022,FDA works to protect consumers from potentially harmful OTC skin lightening products,,,
2/25/2022,FDA updates Sotrovimab emergency use authorization,,,
2/24/2022,FDA authorizes revisions to Evusheld dosing ,,,
2/24/2022,Approved first generic for Apokyn injection cartridges requires separately packaged pen,,,
1/26/2022,FDA issues series of guidances under Drug Competition Action Plan,,,
1/12/2022,FDA warns about risks of dental problems associated with buprenorphine medicines dissolved in the mouth to treat opioid use disorder and pain ,,,
12/23/2021,FDA Urges Manufacturers to Develop Solutions for iPLEDGE REMS Website,,,
10/20/2021,FDA issues refuse-to-file letter for application for Barth syndrome,,,
9/16/2021,FDA authorizes bamlanivimab and etesevimab monoclonal antibody therapy for post-exposure prophylaxis (prevention) for COVID-19,,,
7/30/2021,FDA authorizes REGEN-COV monoclonal antibody therapy for post-exposure prophylaxis (prevention) for COVID-19,,,
7/14/2021,"FDA notifies Amgen of misbranding of its biological product, Neulasta, due to false or misleading promotional communications about the product’s benefit",,,
7/2/2021,FDA alerts health care professionals and patients to a voluntary recall of varenicline (Chantix) to the warehouse level,,,
5/19/21,FDA receives HHS grant to expand CURE ID platform for COVID-19 treatments,,,
3/26/2021,CDER perspective on recently published results of EPPPIC meta-analysis,,,
3/18/2021,FDA authorizes revisions to fact sheets to address SARS-CoV-2 variants for monoclonal antibody products under emergency use authorization,,,
2/16/2021,FDA issues warning to AcelRx for making false and misleading claims about the risks and benefits of Dsuvia,,,
12/10/2020,FDA will test ability to receive digital annotated ECG waveform files as agency prepares to transition to new ECG warehouse  ,,,
12/4/2020,New studies show diabetes drug not proven to improve blood sugar control in pediatric patients,,,
10/13/2020,FDA advises health care professionals and patients about insulin pen packaging and dispensing,,,
10/5/2020,CDER proposes withdrawal of approval for Makena,,,
8/26/2020,FDA works to mitigate shortages of rifampin and rifapentine after manufacturers find nitrosamine impurities,,,
8/20/2020,FDA approves label changes to hydrochlorothiazide to describe small risk of non-melanoma skin cancer,,,
3/19/2020,FDA advises patients on use of non-steroidal anti-inflammatory drugs (NSAIDs) for COVID-19,,,
