WEB_ADDRESS,RECALL_NUMBER,PRODUCT_DESCRIPTION,TRADE_NAME,RECALL_CLASS,CENTER,CENTER_CLASSIFICATION_DT,POSTED_INTERNET_DT,TERMINATION_DT,FIRM_NAME,MANUFACTURER_RECALL_REASON
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215323,Z-2539-2025,"Max Mobility/Permobil Smart Drive MX2+ SpeedControl Dial Ref: MX2-3DCK use in conjunction with the SmartDrive MX2+
Wheelchair Power Assist component.",Smart Drive MX2+ SpeedControl Dial,1,CDRH,2025/09/12 14:41:50,2025/09/12 21:06:49,,Max Mobility LLC,"Due to a faulty electrical connection between the speed control Dial and the wheelchair motor, their is a potential for lost of control of the device potentially resulting in minor or major injuries. "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215324,Z-2540-2025,"Max Mobility/Permobil Smart Drive MX2+ SpeedControl Dial Ref: MX2-3DCMC use in conjunction with the SmartDrive MX2+
Wheelchair Power Assist component.",Smart Drive MX2+ SpeedControl Dial,1,CDRH,2025/09/12 14:41:50,2025/09/12 21:06:49,,Max Mobility LLC,"Due to a faulty electrical connection between the speed control Dial and the wheelchair motor, their is a potential for lost of control of the device potentially resulting in minor or major injuries. "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215322,Z-2538-2025,"Max Mobility/Permobil Smart Drive MX2+ SpeedControl Dial Ref: MX2-3DC use in conjunction with the SmartDrive MX2+
Wheelchair Power Assist component.",Smart Drive MX2+ SpeedControl Dial,1,CDRH,2025/09/12 14:41:50,2025/09/12 21:06:49,,Max Mobility LLC,"Due to a faulty electrical connection between the speed control Dial and the wheelchair motor, their is a potential for lost of control of the device potentially resulting in minor or major injuries. "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215524,Z-2559-2025,"Chemistry Products LAC Slides. Catalog Number: 8433880. 1 Sales Unit = contains 5 cartridges of 60 slides, for a total of 300 tests. ",VITROS Chemistry Products LAC Slides ,2,CDRH,2025/09/12 ,2025/09/12 21:06:46,,"Ortho-Clinical Diagnostics, Inc.","VITROS Chemistry Products LAC Slides on VITROS XT 3400 and VITROS XT 7600 Systems are experiencing an increased occurrence of calibration failure related to lots from coating 0130 and above with Condition Code TH4-63J during calibration, causing the delay of lac test results and potentially impact patient management. The issue was identified by QuidelOrtho through an increase in customer complaints compared to the historical baseline with average failure rate of 1% for coating 0130 in 2025 while average of failure rate for other coating was 0.06% in 2025 and average of failure rate for all coatings is 0.03% for 2024."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=214651,Z-2558-2025,"Vercise Deep Brain Stimulation Systems Surgical Implant Manual, Document Number: 92328632-09",Vercise Deep Brain Stimulation Systems Surgical Implant Manual,2,CDRH,2025/09/12 ,2025/09/12 21:06:52,,Boston Scientific Neuromodulation Corporation,"Wire break(s) have occurred in rechargeable deep brain stimulation implantable pulse generators, implanted in the submuscular pectoral location. Wire breaks prevent successful stimulation, thus requiring device removal/replacement and users may experience high monopolar impedances, undesired sensation, loss of
therapy, return of symptoms and/or Bluetooth connectivity challenges."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215636,Z-2560-2025,"VITROS Chemistry Products LAC Slides. Catalog Number: 8150112. 1 Sales Unit = contains 5 cartridges of 18 slides, for a total of 90 tests. 
",VITROS Chemistry Products LAC Slides,2,CDRH,2025/09/12 ,2025/09/12 21:06:46,,"Ortho-Clinical Diagnostics, Inc.","VITROS Chemistry Products LAC Slides on VITROS XT 3400 and VITROS XT 7600 Systems are experiencing an increased occurrence of calibration failure related to lots from coating 0130 and above with Condition Code TH4-63J during calibration, causing the delay of lac test results and potentially impact patient management. The issue was identified by QuidelOrtho through an increase in customer complaints compared to the historical baseline with average failure rate of 1% for coating 0130 in 2025 while average of failure rate for other coating was 0.06% in 2025 and average of failure rate for all coatings is 0.03% for 2024."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215711,Z-2561-2025,"Exactech Equinoxe, Reverse Shoulder Humeral Liners, 
REF: 320-38-00,145-DEG PE 38MM HUM LINER +0/
320-38-03,145-DEG PE 38MM HUM LINER +2.5/
320-42-00,145-DEG PE 42MM HUM LINER +0/
320-42-03,145-DEG PE 42MM HUM LINER +2.5/
",Exactech Equinoxe Reverse Shoulder Humeral Liners,2,CDRH,2025/09/12 ,2025/09/12 21:06:53,,"Exactech, Inc.",Reverse Shoulder humeral liners have an articular surface position outside of the dimensional specification within the labeling. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215713,Z-2562-2025,"Exactech Equinoxe, Reverse Shoulder Humeral Liners, 
322-38-00 (145-DEG PE 38MM HUM LINER +0),
REF: 322-38-03 (145-DEG PE 38MM HUM LINER +2.5),
REF:322-42-00 (145-DEG PE 42MM HUM LINER +0),
REF: 322-42-03 (145-DEG PE 42MM HUM LINER +2.5)
",Exactech Equinoxe Reverse Shoulder Humeral Liners,2,CDRH,2025/09/12 ,2025/09/12 21:06:53,,"Exactech, Inc.",Reverse Shoulder humeral liners have an articular surface position outside of the dimensional specification within the labeling. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215838,Z-2478-2025,"Wasatch Photonics 785/830-SR and 785-ER-ILC Raman Spectrometers, 
Product Models:
785-SR-ILP, 785-SR-ILC, 830-SR-ILP, 830-SR-ILC,785-ER-ILC.",,2,CDRH,2025/09/11 11:47:45,2025/09/11 21:06:41,,WASATCH PHOTONICS,"Two new potential laser safety failure modes have been identified in the product design. Overcurrent of laser diode, and a fail-unsafe mode.
The failure modes have never been found to occur in these models, whether in the field or factory, but could potentially occur under excessive force or extreme, continuous vibration."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215531,Z-2556-2025,"TiBrid Stand Alone Intervertebral Body Fusion Device, SA Angled Punch Awl, Sizes: 30 degree, 45 degree and 60 degree. ",TiBrid SA Angled Punch Awl,2,CDRH,2025/09/11 ,2025/09/11 21:06:39,,Omnia Medical,Failure of fusion system instruments in the field.
