Date,Safety Alert,Product Type,,
09/12/2025,Ventilator Recall: Philips Respironics Removes Certain DreamStation Devices Due to Programming Errors That Can Result in Failed Therapy Modes,Medical Devices,,
09/12/2025,Update on Alert: Defibrillation Lead Issue from Boston Scientific,Medical Devices,,
09/12/2025,"Continuous Glucose Monitor Apps Correction: Dexcom, Inc. Issues Correction for G7 Apps and ONE+ Apps due to a Software Design Error That Does Not Alert Users of Unexpected Sensor Failure",Medical Devices,,
09/11/2025,Accolade Pacemaker Devices by Boston Scientific and Potential Need for Early Device Replacement - FDA Safety Communication,,,
09/11/2025,2024 Safety Communications,"Medical Devices, Radiation-Emitting Products",,
08/29/2025,Manual Resuscitator Recall: Ambu Inc. Removes SPUR II Resuscitators Due to Blocked Manometer Port,,,
08/29/2025,"Green Lumber Holding, LLC Issues Consumer Alert on Counterfeit Products  Following FDA Findings","Drugs, Unapproved Drug",,
08/29/2025,"Breathing Circuit Set Recall: Hamilton Medical, Inc. Removes Coaxial Breathing Circuit Set Due to Possible Inner Blue Tube Cracks That May Impact Ventilation",,,
08/29/2025,Mobile Power Unit AC Power Cord Recall: Abbott Medical Removes AC Power Cord Associated with HeartMate Mobile Power Unit (MPU) Due to Potential Risk of the Cord Not Locking into Place,,,
08/28/2025,"Infusion Pump Correction: ICU Medical, Inc. Issues Correction for Plum Duo Infusion System Due to Software Possibly Resulting in Pump Becoming Unresponsive",,,
08/28/2025,Applicator Recall: Integra LifeSciences Removes Extended Tip Applicator Due to Potential Sterility and Endotoxin Concerns,,,
08/28/2025,Ventilator Correction: Hamilton Medical AG Corrects HAMILTON-C6 Due to Risk of Ventilation Interruption from Defective Circuit Board,,,
08/28/2025,DermaRite Industries Expands Voluntary Nationwide Recall Due to Potential  Burkholderia cepacia Contamination,"Drugs, Microbial Contamination",,
08/27/2025,"Unichem Pharmaceuticals (USA) Inc. Issues Voluntary Nationwide Recall of Cyclobenzaprine Hydrochloride Tablets USP 10 mg, Due to Mislabeling","Drugs, Mislabeling",,
08/25/2025,"FDA Update on the Safety of Ixchiq (Chikungunya Vaccine, Live). FDA Suspends Biologics License: FDA Safety Communication","Biologics, Vaccines",,
08/25/2025,Follow Instructions for Safe Use of Hyperbaric Oxygen Therapy Devices - Letter to Health Care Providers,,,
08/22/2025,Vascular Stent Recall: Boston Scientific Removes Carotid WALLSTENT Monorail Endoprosthesis Due to Risk of Resistance During Device Withdrawal,,,
08/19/2025,B. Braun Medical Issues Voluntary Nationwide Recall of Lactated Ringer’s Injection USP 1000 mL and 0.9% Sodium Chloride Injection USP 1000 mL Due to the Presence of Particulate Matter,"Drugs, Potential Foreign Material",,
08/15/2025,Early Alert: Infusion Pump Issue from Baxter,,,
08/15/2025,Early Alert: Cardiac Cannula Issue from Medtronic,,,
08/12/2025,Tandem Diabetes Care Issues Voluntary Medical Device Correction for Select t:slim X2 Insulin Pumps,"Defect, Medical Devices",,
08/12/2025,Breathing System Filters Recall: Draeger Removes SafeStar and TwinStar Filters Due to Risk of Misleading Carbon Dioxide (CO₂) Readings,,,
08/12/2025,Max Mobility / Permobil Announces Worldwide Expanded Recall and Removal of all SpeedControl Dials from the Market Due to Intermittent Cable Connection Concerns of the Dial with the SmartDrive MX2+ Motor. Users Must Use an Alternate Control Method for their SmartDrive MX2+ Power Assist Device.,"Defect, Medical Devices",,
08/09/2025,"DermaRite Industries Issues Voluntary Nationwide Recall of DermaKleen, Dermasarra, Kleenfoam, and Perigiene Products Due to Burkholderia cepacia Contamination","Drugs, Microbial Contamination",,
08/07/2025,"FDA Update on the Safety of Ixchiq (Chikungunya Vaccine, Live): FDA Safety Communication","Biologics, Vaccines",,
08/06/2025,Early Alert: Electrophysiology Catheter Issue from Medline ReNewal,Medical Devices,,
08/06/2025,"Continuous Ventilator Correction: Philips Respironics Updates Use Instructions for BiPAP A30, A40, and V30 Devices Due to Interruptions and/or Loss of Therapy",Medical Devices,,
08/06/2025,Early Alert: WATCHMAN Access System Issue from Boston Scientific,Medical Devices,,
08/01/2025,FDA is Requiring Opioid Pain Medicine Manufacturers to Update Prescribing Information Regarding Long-Term Use: Drug Safety Communication,Drugs,,
07/25/2025,"Disposable Surgical Stapler Cartridge Correction: Ethicon Endo-Surgery, LLC Issues Correction for Endopath Echelon to Address Inadvertent Lockout During Surgical Procedures",,,
07/24/2025,Arterial Cannula Recall: Edwards Lifesciences Removes Arterial Cannula due to Risk of Wire Exposure,Medical Devices,,
07/23/2025,Mobile Lift Component Recall: Baxter Healthcare Corporation Removes Mobile Lift Component due to Risk of Improper Attachment,Medical Devices,,
07/22/2025,"Medical Procedure Kits Correction: Medline Industries, LP Issues Correction for Medline Craniotomy Kits Containing Codman Disposable Perforators Due to Risk for Device Disassembly",,,
07/22/2025,"Manual Resuscitator Recall: SunMed Holdings, LLC Removes Adult Manual Resuscitator Devices Due to Incorrect Assembly of B/V Filter",Medical Devices,,
07/22/2025,Early Alert: Infusion Pump Issue from Baxter,Medical Devices,,
07/21/2025,Applicator Recall: Integra LifeSciences Removes MicroMyst Applicators Due to Potential Sterility Concerns,Medical Devices,,
07/21/2025,Continuous Ventilator (Respirator) Correction: Maquet Critical Care AB Updates Use Instructions for Servo Ventilator Systems Due to Risk of Inaccurate Compliance Measurement Leading to Improper Tidal Volume Delivery in Neonatal Patients,,,
07/17/2025,Early Alert: Microbore Extension Set Issue from B. Braun Medical Inc.,,,
07/17/2025,BD Issues Update to Voluntary Global Recall of Alaris™ and BD Alaris™ Pump Modules Serviced with Legacy Bezel Kit Assemblies,"Defect, Medical Devices",,
07/17/2025,Portable Oxygen Concentrator Car Adapter Recall: Drive DeVilbiss Healthcare Removes iGo DV6X-619 DC Car Adapter Due to Cord Possibly Becoming Hot to the Touch and/or Melting While Being Used,,,
07/17/2025,"Continuous Glucose Monitor Receiver Recall: Dexcom, Inc. Removes Certain Dexcom G6, G7, ONE, and ONE+ Receivers Due to Speaker Malfunction That May Cause Missed Alerts for Dangerous Blood Sugar Levels",,,
07/16/2025,Cranial Drill Recall: Integra LifeSciences Recalls Codman Disposable Perforators Due to Risk of Device Disassembly,,,
07/15/2025,Endoscopic Vessel Harvesting (EVH) System Correction: Getinge and Maquet Cardiovascular Update Use Instructions for VasoView HemoPro 2 (VH-4000 and VH-4001) EVH Systems due to Risk for Bent or Detached Heater Wires and Silicone Peeling or Detaching During Use,,,
07/15/2025,Safety and Availability Concerns with VasoView HemoPro Endoscopic Vessel Harvesting Systems - Letter to Health Care Providers,Medical Devices,,
07/15/2025,Early Alert: Infusion Set Performance Issue from BD,,,
07/14/2025,"Nostrum Laboratories, Inc. Issues Voluntary Nationwide Recall of Sucralfate Tablets USP 1 Gram Within Expiry","Drugs, Device & Drug Safety",,
07/10/2025,"Closed Suction Catheter Recall: Avanos Medical, Inc. Removes Ballard Closed Suction Systems Due to Risk of Non-Sterility",Medical Devices,,
07/09/2025,Broselow Pediatric Emergency Rainbow Tape Recall: AirLife Removes Certain Broselow Pediatric Emergency Rainbow Tapes due to Misprinted Information,Medical Devices,,
07/09/2025,Infant Breathing System Recall: AirLife/Vyaire Removes Infant Heated Wire Circuits Due to Risk for Inadvertent Adapter Disconnection During Ventilation,,,
07/02/2025,Cybersecurity Vulnerabilities with Certain Patient Monitors from Contec and Epsimed: FDA Safety Communication,Medical Devices,,
07/01/2025,Early Alert: Blood Pump Controller Issue from Abiomed,,,
07/01/2025,Extended-Release Stimulants for ADHD: FDA Drug Safety Communication - FDA Requires Expanded Labeling about Weight Loss Risk in Patients Younger than 6 Years,Drugs,,
07/01/2025,Early Alert: Infusion Pump Software Issue from Baxter,,,
06/27/2025,Sandoz Inc. Issues Voluntary Nationwide Recall of One Lot of Cefazolin for Injection Due to Product Mispackaging,"Drugs, Potential Packaging Issue",,
06/25/2025,Angiographic Catheter Recall: Cook Removes Beacon Tip Angiographic Catheters due to Tip Separation,Medical Devices,,
06/25/2025,mRNA COVID-19 Vaccines: FDA Safety Communication - FDA Approves Required Updated Warning in Labeling Regarding Myocarditis and Pericarditis Following Vaccination,"Biologics, Vaccines",,
06/24/2025,Import Alerts for Certain Olympus Medical Devices Manufactured in Japan - Letter to Health Care Providers,Medical Devices,,
06/24/2025,Flexible Tracheostomy Tube Recall: Medtronic Removes Shiley Adult Flexible Tracheostomy Tube with TaperGuard Cuff Reusable Inner Cannula Due to Risk for Disconnection of the Flange from the Device Cannula,Medical Devices,,
06/24/2025,Early Alert: Esophageal pH Monitoring Capsule Issue from Medtronic,,,
06/23/2025,Transderm Scōp (Scopolamine Transdermal System): Drug Safety Communication - FDA Adds Warning About Serious Risk of Heat-Related Complications with Antinausea Patch,Drugs,,
06/23/2025,Anesthesia Delivery Systems Recall: GE HealthCare Issues Correction for Certain Carestations due to Risk of Ineffective Ventilation When Used in Volume Control Ventilation (VCV) Mode,Medical Devices,,
06/23/2025,"Medical Procedure Kits Correction: Medline Industries, LP Issues Correction for Medline Procedure Kits Containing Medtronic Aortic Root Cannula due to Potential Excess Material in Male Luers",Medical Devices,,
06/23/2025,"Resuscitation System Recall: ZOLL Circulation, Inc. Recalls AutoPulse NXT Resuscitation System Due to a Failure Code That May Stop Compressions or Deliver Inadequate CPR",Medical Devices,,
06/20/2025,Intra-Operative Positioning System Guidewire Recall: Centerline Biomedical Removes Certain IOPS Guidewires due to Delamination,Medical Devices,,
06/17/2025,"Aspiration Catheter Recall: Q’Apel Medical, Inc. Removes Hippo 072 Aspiration System and Cheetah Delivery Tool After FDA Warning Letter About Internal Processes and Distal Tip Characteristics",Medical Devices,,
06/17/2025,"Convenience Kit Recall: Medline Industries, LP, Removes Medline Neonatal and Pediatric Kits containing Smiths Medical ORAL/NASAL Endotracheal Tubes Due to Smaller Than Expected Tube Diameter That May Cause Underventilation",Medical Devices,,
06/17/2025,Blood Products Administration Set Recall: Fresenius Kabi Removes Large Volume Pump Blood Products Administration Sets due to Incorrect Assembly,Medical Devices,,
06/16/2025,Infusion Pump Recall: Zyno Medical Removes Certain Z-800 Series Infusion Pumps due to Software Issue,Medical Devices,,
06/13/2025,Liquid Bicarbonate Concentrate Recall: Nipro Removes MedicaLyte Liquid Bicarbonate Concentrate due to Contamination,,,
06/11/2025,Medtronic Announces Voluntary Recall of Select Newport™  HT70 and Newport™ HT70 Plus Ventilators and Certain Related Newport™ Service Parts,"Defect, Medical Devices",,
06/06/2025,Infusion Pump Correction: Baxter Updates Instructions for Use for Novum IQ Large Volume Pump due to Potential for Underinfusion,Medical Devices,,
06/06/2025,"Church & Dwight Co., Inc. Issues Voluntary Nationwide Recall of Zicam® Cold Remedy Nasal Swabs, Zicam® Nasal AllClear Swabs, and Orajel™ Baby Teething Swabs Due to Microbial Contamination","Drugs, Microbial Contamination",,
06/05/2025,"Anesthesia Breathing Circuit Kit Correction: Draeger, Inc. Updates Use Instructions for VentStar Flex and Anesthesia Circuit Kits Due to Cracks in Hose That May Cause Inadequate Ventilation",Medical Devices,,
06/05/2025,Infusion Pump Recall: Infusion Pump Intermittent Connection Issue from Smiths Medical,Medical Devices,,
06/05/2025,Infusion Pump Recall: Infusion Pump Thermal Damage Issue from Smiths Medical,Medical Devices,,
06/05/2025,Infusion Pump Recall: False Alarm Issue with Infusion Pump from Smiths Medical,Medical Devices,,
06/04/2025,"Amneal Pharmaceutical LLC Issues a Nationwide Recall of Sulfamethoxazole / Trimethoprim Tablets, USP, 400 mg/80 mg Only, Due to Microbial Contamination","Drugs, Microbial Contamination",,
05/27/2025,Risk of False Positive Lead Test Results with Certain Capillary Blood Collection Tubes Used with Magellan Diagnostics LeadCare Testing Systems – FDA Safety Communication,,,
05/23/2025,Esophagogastric Tube Recall: BD Issues Correction for Esophagogastric Balloon Tamponade Tubes due to Challenges Removing Plastic Plugs from Rubber Lumen,,,
05/23/2025,Cetirizine or Levocetirizine: Drug Safety Communication - FDA Warns About Risk of Severe Itching After Discontinuation of Long-Term Use of Allergy Medicines,Drugs,,
05/22/2025,"UMARY- USA.COM Issues Voluntary Nationwide Recall of UNAVY ÁCIDO HIALURÓNICO Caplets and UMOVY ÁCIDO HIALURÓNICO Caplets Due to the Presence of Undeclared Drug Ingredients Dexamethasone, Diclofenac and Omeprazole","Drugs, Unapproved Drug",,
05/12/2025,"FDA and CDC Recommend Pause in Use of Ixchiq (Chikungunya Vaccine, Live) in Individuals 60 Years of Age and Older While Postmarketing Safety Reports are Investigated: FDA Safety Communication","Biologics, Vaccines",,
05/07/2025,"FDA Advises Consumers, Tattoo Artists, and Retailers to Avoid Using or Selling Certain Sacred Tattoo Ink Products Contaminated with Microorganisms",Cosmetics,,
05/06/2025,EnShiShiXiangNiShangMaoYouXianGongSi Issues Voluntary Nationwide Recall of ENDURANCE BOOST WITH HORNY GOAT WEED Capsules Due To Presence of Undeclared Propoxyphenylsildenafil and Sildenafil,"Drugs, Unapproved Drug",,
04/24/2025,Heart Pump Accessory Removal: Abbott Removes HeartMate Mobile Power Unit due to Instances of Sudden Power Loss,,,
04/18/2025,Early Alert: Diagnostic Intravascular Catheter Issue from Conavi,,,
04/18/2025,"Amneal Pharmaceutical LLC Issues a Nationwide Recall of Ropivacaine Hydrochloride  Injection, USP 500mg/100mL, Due to the Potential Presence of Particulate Matter","Drugs, Potential Foreign Material",,
04/18/2025,FDA Classifies Q’Apel Medical Inc.’s  Worldwide Medical Device Recall and Discontinuation of its 072 Aspiration System (Hippo) as Class I,"Defect, Medical Devices",,
04/18/2025,Early Alert: Intravascular PICC Catheter Issue from BD,,,
04/07/2025,Max Mobility / Permobil Expands Nationwide Recall of SmartDrive Speed Control Dial Due to the Motor Being Unresponsive to the User,"Defect, Medical Devices",,
04/07/2025,"Bausch + Lomb Announces Voluntary Recall of enVista Aspire™, enVista Envy™ and Certain enVista® Monofocal Intraocular Lenses in the U.S.","Defect, Medical Devices",,
03/31/2025,Update: Potential Risk of Exposure to Toxic Compounds When Using Hemodialysis and Peritoneal Dialysis Systems - Letter to Health Care Providers,Medical Devices,,
03/31/2025,Peritoneal Dialysis Set Correction: Baxter Issues Correction for MiniCap Extended Life Peritoneal Dialysis Transfer Sets Due to Risk of Patient Exposure to Higher Than Allowable Levels of Toxic Compound NDL-PCBA and/or NDL-PCBs,Medical Devices,,
03/31/2025,Vascular Cannula Recall: Medtronic Removes Aortic Root Cannula Due to Unexpected Loose Material in the Male Luer,,,
03/26/2025,"Megadyne Medical Products, Inc. Recalls Mega Soft Universal Patient Return Electrode Due to Reports of Patient Burns",Medical Devices,,
03/26/2025,Safe Use of Megadyne Mega 2000 and Mega Soft Patient Return Electrodes - Letter to Health Care Providers,Medical Devices,,
03/25/2025,Endotracheal Tube Recall: Smiths Medical Removes Intubation ORAL/NASAL Endotracheal Tubes Due to Smaller Than Expected Tube Diameter That May Cause Underventilation,,,
03/20/2025,Early Alert: Aspiration System Issue from Calyxo,,,
03/20/2025,Update on Alert: Atherectomy Catheter System Issue from Bard Peripheral Vascular,Medical Devices,,
03/20/2025,Update on Alert: Infusion Pump Issue from Baxter Healthcare Corporation,Medical Devices,,
03/20/2025,"Infusion Pump Software Correction: Becton, Dickinson and Company (BD) Issues Correction for BD Alaris Systems Manager and Care Coordination Engine Infusion Adapter Software Due to Risk for Outdated Automated Programming Requests to Load",Medical Devices,,
03/19/2025,Implantable Port Recall: Smiths Medical Removes ProPort Plastic Implantable Ports Due to Manufacturing Error that May Cause Separation,Medical Devices,,
03/18/2025,"Embolization Device Recall and Correction: Medtronic Removes Unused 027 Compatible Pipeline Vantage Embolization Device with Shield Technology, Updates Use Instructions for 021 Compatible Pipeline Vantage Embolization Devices due to Increased Risk of Incomplete Wall Apposition and Braid Deformation",,,
03/14/2025,Disruptions in Availability of Hemodialysis Bloodlines - Letter to Health Care Providers,,,
03/14/2025,2024 Letters to Health Care Providers,"Medical Devices, Radiation-Emitting Products",,
03/13/2025,"Dr. Reddy’s Issues a Nationwide Recall of Levetiracetam in 0.75% Sodium Chloride Injection 1,000 mg/100 mL, in the U.S., Due to Mislabeling of Infusion Bag","Drugs, Mislabeling",,
03/11/2025,Immune Globulin Intravenous (IGIV) and Immune Globulin Subcutaneous (IGSC): Voluntary Lot Withdrawals - Due to Increased Reports of Allergic/Hypersensitivity Reactions,Biologics,,
03/10/2025,Smiths Medical Issues Urgent Medical Device Correction Informing Customers of a Potential Issue with Certain Sizes of Intubation ORAL/NASAL Endotracheal Tubes Being Smaller Than Expected,"Defect, Medical Devices",,
03/05/2025,Update on Alert: Solution Set Issue from Baxter Healthcare Corporation,Medical Devices,,
03/05/2025,Update on Alert: Infusion Pump Issue from Fresenius Kabi USA,Medical Devices,,
03/05/2025,Update on Alert: Infusion Pump Software Issue from Fresenius Kabi USA,,,
03/05/2025,Update on Alert: Fluid Delivery Set Issue from Medline,Medical Devices,,
03/05/2025,Update on Alert: Extracorporeal Blood Circuit Issue from Nuwellis,Medical Devices,,
03/05/2025,Update on Alert: Endoscope Accessories Forceps/Irrigation Plug Issue from Olympus,Medical Devices,,
