drug_name,device_name,condition,old_dosage,new_dosage,old_warning,new_warning,old_indication,new_indication,recall_reason,risk_level,fda_approval_date,update_date,source_url,ndc_code,clinical_trial_id,patient_population,contraindications,adverse_events,mechanism_of_action,therapeutic_class,manufacturer,regulatory_status,clinical_significance,patient_safety_impact,compliance_deadline,adverse_event_count,recall_class,trial_phase,study_status,id
BONIVA,,"Vomiting, Diarrhoea, Arthralgia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Vomiting, Diarrhoea",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003300,,,"Patients similar to case: 2, age 77",Enhanced screening for risk factors,"Vomiting, Diarrhoea, Arthralgia",BONIVA mechanism with identified safety concern,Adverse Event Report,1289378,FDA Adverse Event Report,"Adverse event pattern identified: Vomiting, Diarrhoea",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0000
TYVASO,,"Headache, Hypotension",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Headache, Hypotension",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003320,,,"Patients similar to case: 1, age 42",Enhanced screening for risk factors,"Headache, Hypotension",TYVASO mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0056834,FDA Adverse Event Report,"Adverse event pattern identified: Headache, Hypotension",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0001
PREDNISONE,,"Respiratory failure, Listeriosis, Pyrexia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Respiratory failure, Listeriosis",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003327,,,"Patients similar to case: 1, age 53",Enhanced screening for risk factors,"Respiratory failure, Listeriosis, Pyrexia",PREDNISONE mechanism with identified safety concern,Adverse Event Report,PHHY2014CN026563,FDA Adverse Event Report,"Adverse event pattern identified: Respiratory failure, Listeriosis",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0002
LETAIRIS,,Headache,Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,Enhanced monitoring for: Headache,As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003344,,,"Patients similar to case: 2, age 69",Enhanced screening for risk factors,Headache,LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0059206,FDA Adverse Event Report,Adverse event pattern identified: Headache,Serious adverse event - enhanced monitoring required,2025-10-14,1,,,,GT-0003
PREDNISONE,,"Loss of consciousness, Listeriosis, Pyrexia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Loss of consciousness, Listeriosis",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003375,,,"Patients similar to case: 2, age 53",Enhanced screening for risk factors,"Loss of consciousness, Listeriosis, Pyrexia",PREDNISONE mechanism with identified safety concern,Adverse Event Report,PHHY2014CN026564,FDA Adverse Event Report,"Adverse event pattern identified: Loss of consciousness, Listeriosis",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0004
LETAIRIS,,"Headache, Dyspnoea, Diarrhoea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Headache, Dyspnoea",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003390,,,"Patients similar to case: 2, age 44",Enhanced screening for risk factors,"Headache, Dyspnoea, Diarrhoea",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0062268,FDA Adverse Event Report,"Adverse event pattern identified: Headache, Dyspnoea",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0005
DONEPEZIL,,"Hallucination, visual, Headache, Insomnia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Hallucination, visual, Headache",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003398,,,"Patients similar to case: 1, age 77",Enhanced screening for risk factors,"Hallucination, visual, Headache, Insomnia",DONEPEZIL mechanism with identified safety concern,Adverse Event Report,GB-ACTAVIS-2014-04174,FDA Adverse Event Report,"Adverse event pattern identified: Hallucination, visual, Headache",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0006
LETAIRIS,,"Headache, Dizziness exertional, Haemoglobin decreased",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Headache, Dizziness exertional",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003399,,,"Patients similar to case: 2, age 56",Enhanced screening for risk factors,"Headache, Dizziness exertional, Haemoglobin decreased",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063319,FDA Adverse Event Report,"Adverse event pattern identified: Headache, Dizziness exertional",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0007
LETAIRIS,,Nausea,Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,Enhanced monitoring for: Nausea,As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003372,,,"Patients similar to case: 1, age 49",Enhanced screening for risk factors,Nausea,LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0061187,FDA Adverse Event Report,Adverse event pattern identified: Nausea,Serious adverse event - enhanced monitoring required,2025-10-14,1,,,,GT-0008
CASODEX,,"Diarrhoea, Arthralgia, Nausea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Diarrhoea, Arthralgia",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003376,,,"Patients similar to case: 1, age 62",Enhanced screening for risk factors,"Diarrhoea, Arthralgia, Nausea",CASODEX mechanism with identified safety concern,Adverse Event Report,US-ASTRAZENECA-2013SE50238,FDA Adverse Event Report,"Adverse event pattern identified: Diarrhoea, Arthralgia",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0009
